variable,n,mean,std,p25,median,p75
analyst_covered,21679,0.2404631209926657,0.42737458229832637,0.0,0.0,0.0
num_analysts,5213,4.9955879531939384,4.670141980412885,1.0,3.0,8.0
roa_w,21520,-0.37245793293979174,1.1895510780122869,-0.29305305202812126,-0.045956987955773,0.04050382933760488
leverage_w,21443,0.21650356140523647,0.4289928810338525,0.0,0.0746815373464467,0.2854687778779029
log_assets_w,21526,10.568292765093238,2.6208559803572347,8.767145450908279,10.294541880356007,12.235476768824753
revenue_growth_w,15558,1.1992492686987049,6.803976872191722,-0.1422803471854809,0.0467621655071226,0.3183221345708226
broad_stress_12m_appendix,19344,0.6350806451612904,0.48141998353586063,0.0,1.0,1.0
strict_accounting_stress_12m_candidate,19322,0.4075147500258772,0.4913847526329454,0.0,0.0,1.0
persistent_broad_stress_24m_candidate,16984,0.5753650494583137,0.4943020285993571,0.0,1.0,1.0
altman_distress_12m_candidate,3731,0.4339319217367998,0.4956822196976902,0.0,0.0,1.0
event_distress_12m_candidate,21679,0.18570967295539462,0.3888811722561601,0.0,0.0,0.0
